trial number, target position, gain, vibration, exposure time, 2afc, embodiment
0,0.2,1.5,-1,1.860557,Lower,1
1,0.2,1.5,-2,2.319791,Lower,4
2,0.2,0.5,1,2.972036,Higher,4
3,0.2,0.5,-2,3.111077,Lower,3
4,0.8,1.5,1,1.847006,Lower,3
5,0.8,1.5,-2,1.236114,Lower,5
6,0.8,0.5,-1,3.222178,Lower,5
7,0.8,0.5,-2,2.084173,Lower,5
8,0.8390591,0.6,-1,2.777103,Lower,4
9,0.2124704,0.6,-2,1.901965,Lower,4
10,0.7910843,0.6,-2,2.430657,Lower,5
11,0.2165186,1,-1,1.541968,Lower,4
12,0.8321391,1.4,1,1.247222,Lower,4
13,0.7641791,1.4,-2,1.222621,Lower,3
14,0.2338268,0.6,1,1.458437,Lower,4
